16:37:20.772 [32m[main][0;39m [34mINFO[0;39m org.openlca.core.database.Derby - initialize database folder C:\Users\KETI\openLCA-data-1.4\databases\test1012, create=false
Global warming 100a (incl. NMVOC av.);0.00583;kg CO2 eq
Acidification (fate not incl.);0.00001;kg SO2 eq
Freshwater aquatic ecotox. 20a;0.00000;kg 1,4-DB eq
Ozone layer depletion 10a;0.00000;kg CFC-11 eq
Abiotic depletion (elem., econ. reserve);0.00000;kg Sb eq
Marine aquatic ecotox. 500a;0.00003;kg 1,4-DB eq
Malodorous air;0.01362;m3 air
Freshwater aquatic ecotox. 100a;0.00000;kg 1,4-DB eq
Abiotic depletion (fossil fuels);0.01099;MJ
Global warming (GWP100a);0.00582;kg CO2 eq
Terrestrial ecotoxicity;0.00000;kg 1,4-DB eq
Marine aquatic ecotoxicity;2.20763;kg 1,4-DB eq
Photochemical oxidation;0.00000;kg C2H4 eq
Ozone layer depletion (ODP);0.00000;kg CFC-11 eq
Human toxicity;0.00017;kg 1,4-DB eq
Abiotic depletion;0.00000;kg Sb eq
Eutrophication;0.00000;kg PO4--- eq
Acidification;0.00001;kg SO2 eq
Fresh water aquatic ecotox.;0.00000;kg 1,4-DB eq
WSI;0.00000;m3
HH, distribution;0.00000;DALY
HH, marginal;0.00000;DALY
Water use;0.00001;m3
Heavy metals into air;0.00697;UBP
Carcinogenic substances into air;0.00000;UBP
Pesticides into soil;0.00025;UBP
Mineral resources;0.00000;UBP
Heavy metals into soil;0.00000;UBP
Water pollutants;0.00092;UBP
Radioactive substances into air;0.00000;UBP
Noise;0.00000;UBP
Non radioactive waste to deposit;0.00000;UBP
Energy resources;0.31408;UBP
POP into water;0.00000;UBP
Global warming;0.00251;UBP
Water resources;0.00001;UBP
Radioactive waste to deposit;0.00000;UBP
Ozone layer depletion;0.00000;UBP
Radioactive substances into water;0.00000;UBP
Land use;0.00000;UBP
Main air pollutants and PM;0.54699;UBP
Heavy metals into water;0.00541;UBP
Human toxicity, cancer effects;0.00000;CTUh
Acidification;0.00001;molc H+ eq
Water resource depletion;0.00000;m3 water eq
